기간,캠페인 이름,광고그룹 이름,비용 (VAT 포함),노출 수,도달 수,클릭 수,클릭률,클릭당 비용(CPC),노출당 비용(CPM)
2026.05.31.,"지브리&뮤지컬 심포니콘서트","260530 부산 디자인진흥원 1차",98334,27021,18157,284,1.0510344,346,3639
2026.05.31.,"지브리&뮤지컬 심포니콘서트","260609 성남 바른아트센터 1차",50052,14111,9910,108,0.7653604,463,3547
2026.05.31.,"지브리&뮤지컬 심포니콘서트","260611 마포 서교스퀘어 1차",50036,13458,9446,155,1.1517313,322,3717
2026.05.31.,"지브리&뮤지컬 심포니콘서트","260612 수원 진아트 1차",50348,10686,7235,141,1.3194835,357,4711
2026.05.31.,"지브리&뮤지컬 심포니콘서트","260616 세종 비오케이 1차",50063,13375,8525,135,1.0093458,370,3743
2026.05.31.,"지브리&뮤지컬 심포니콘서트","260619 평택 티웨딩홀 1차",30192,5959,3799,112,1.87951,269,5066
2026.05.31.,"지브리&뮤지컬 심포니콘서트","260620 부천 솔안아트홀 1차",30042,7422,4483,156,2.1018593,192,4047
2026.05.31.,"지브리&뮤지컬 심포니콘서트","260624 인천 그랜드오스티엄 1차",29683,9436,6679,143,1.5154727,207,3145
2026.05.31.,"지브리&뮤지컬 심포니콘서트","260626 대구 한영아트홀 지브리 1차",30197,7112,4870,159,2.2356581,189,4245
2026.05.31.,"지브리&뮤지컬 심포니콘서트","260627 창원 컨벤션센터 지브리 1차",30027,8697,5538,132,1.5177648,227,3452
2026.05.31.,"뮤지컬 페스타","260623 서초 SCC홀 1차",30083,8987,5361,95,1.0570824,316,3347
